elapsed_s,unix_ts,rss_kb,goroutines,db_bytes,reads_done,drafts_done,real_cycles_done
0,1783824150,48968,44,362376,0,1,0
61,1783824212,49196,43,502456,1,2,0
128,1783824279,50064,42,659016,4,3,0
190,1783824341,47664,43,823816,7,4,0
252,1783824403,47664,44,988616,10,5,0
314,1783824465,49340,44,1145176,13,6,0
381,1783824532,44112,41,1301736,16,7,0
441,1783824592,51880,42,1458296,19,8,0
505,1783824656,49936,40,1647816,23,9,0
572,1783824722,49748,42,1812616,26,10,0
634,1783824784,49476,41,1977416,29,11,0
696,1783824846,50912,40,2142216,32,12,0
763,1783824913,47412,40,2298776,35,13,0
825,1783824975,52024,44,2459456,38,14,0
892,1783825042,50896,41,2669576,42,15,0
959,1783825109,50748,41,2916776,45,17,0
1021,1783825171,52040,41,3073336,48,18,0
1083,1783825233,51100,42,3229896,51,19,0
1145,1783825295,52236,43,3407056,55,20,0
1207,1783825357,57164,44,3852016,58,21,0
1268,1783825419,51972,43,3975616,60,22,0
1330,1783825481,45816,41,4140416,63,23,0
1392,1783825543,51708,42,4324832,66,24,0
1454,1783825605,52348,42,4324832,69,25,0
1516,1783825667,52104,42,4324832,72,26,0
1583,1783825733,50976,42,4324832,75,27,0
1650,1783825800,47088,43,4324832,78,28,0
1717,1783825867,52100,43,4324832,81,30,0
1779,1783825929,48060,43,4324832,85,31,0
1841,1783825991,52976,43,4324832,88,32,0
1903,1783826053,51160,44,4324832,91,33,0
1965,1783826115,51956,43,4324832,94,34,0
2027,1783826177,52504,42,4324832,97,35,0
2094,1783826244,45236,41,4324832,100,36,0
2156,1783826306,50640,41,4324832,103,37,0
2218,1783826368,52068,41,4324832,106,38,0
2285,1783826435,52832,41,4324832,109,39,0
2352,1783826502,52000,41,4324832,112,41,0
2413,1783826564,52440,41,4324832,115,42,0
2475,1783826626,51984,43,4324832,117,43,0
2542,1783826693,48676,43,4324832,120,44,0
2604,1783826755,55128,41,4324832,123,45,0
2666,1783826816,55216,41,4324832,126,46,0
2733,1783826883,54896,41,4324832,129,47,0
2795,1783826945,52400,43,4324832,132,48,0
2857,1783827007,54820,42,4365816,135,49,0
2919,1783827069,47820,40,4365816,138,50,0
2987,1783827137,48484,41,4365816,143,51,0
3054,1783827204,52028,43,4365816,146,53,0
3120,1783827271,52080,44,4365816,149,54,0
3183,1783827333,52692,44,4365816,153,55,0
3250,1783827400,48900,40,4365816,156,56,0
3311,1783827462,53452,42,4365816,159,57,0
3379,1783827529,50184,41,4365816,163,58,0
3440,1783827591,52648,40,4365816,166,59,0
3508,1783827658,53236,41,4365816,170,60,0
3570,1783827720,54780,43,4365816,173,61,0
3662,1783827812,43628,44,4365816,176,63,0
